"PFT","Quantile_5%","Median","Quantile_95%"
"DBF",-0.0483688060993258,-0.0211101943268823,0.00712404745776413
"SAV",-0.0645070097660739,-0.0199400895944747,0.0219679022317934
"WSA",-0.0516155951067825,-0.0177350499654322,0.0153227607245532
"DNF",-0.0513456230331362,-0.016598335115372,0.00978104571042887
"FOR",-0.0452640619595412,-0.0164937701616998,0.0115180699461881
"ENF",-0.0429693080741155,-0.0141945748949089,0.0173547504725583
"CSH",-0.0871803571652327,-0.0138535855941535,0.0435049248891388
"EBF",-0.0464851753883188,-0.0135469585047223,0.0197776069380143
"BAR",-0.0656785519094991,0.00339023425057628,0.0885716847864406
"OSH",-0.0433018796611862,0.00404431343191205,0.0445366452554223
"GRA",-0.0439617049221979,0.0043285424386924,0.0582185734736305
